time,area,average,total
0,0.006859049331494267,48,14293
1,0.007170464492711993,48,14293
2,0.007481388326437752,48,14293
3,0.007790712025164862,48,14293
4,0.008097312044352574,48,14293
5,0.008400058757171501,48,14293
6,0.008697825278282258,48,14293
7,0.008989496346233847,48,14293
8,0.009273977152598948,48,14293
9,0.009550202006464437,48,14293
10,0.009817142725346693,48,14293
11,0.010073816647958159,48,14293
12,0.010319294170399814,48,14293
13,0.010552705715173317,48,14293
14,0.01077324805170348,48,14293
15,0.010980189897648797,48,14293
16,0.01117287674191009,48,14293
17,0.011350734842684118,48,14293
18,0.0115132743668853,48,14293
19,0.01166009165050805,48,14293
20,0.011790870572756873,48,14293
21,0.011905383049773783,48,14293
22,0.012003488666300612,48,14293
23,0.012085133475399683,48,14293
24,0.012150348007215777,48,14293
25,0.012199244537537332,48,14293
26,0.012232013675439345,48,14293
27,0.012248920336487458,48,14293
28,0.012250299173744327,48,14293
29,0.012236549543139165,48,14293
30,0.012208130082603045,48,14293
31,0.012165552985788643,48,14293
32,0.012109378051212486,48,14293
33,0.012040206586386135,48,14293
34,0.01195867524402135,48,14293
35,0.011865449863841126,48,14293
36,0.011761219389031833,48,14293
37,0.011646689921078006,48,14293
38,0.011522578970788273,48,14293
39,0.011389609956895329,48,14293
40,0.011248506996852568,48,14293
41,0.011099990027500367,48,14293
42,0.010944770286273383,48,14293
43,0.010783546176693491,48,14293
44,0.010616999535164528,48,14293
45,0.01044579230963866,48,14293
46,0.010270563654666777,48,14293
47,0.010091927441726623,48,14293
48,0.00991047017861153,48,14293
49,0.009726749327089343,48,14293
50,0.009541292004033428,48,14293
51,0.009354594047796533,48,14293
52,0.00916711942873994,48,14293
53,0.008979299980535019,48,14293
54,0.008791535427100941,48,14293
55,0.008604193678795398,48,14293
56,0.008417611370713927,48,14293
57,0.008232094615619898,48,14293
58,0.00804791994409627,48,14293
59,0.007865335404923965,48,14293
60,0.007684561799416611,48,14293
61,0.007505794024424156,48,14293
62,0.007329202499921598,48,14293
63,0.007154934658481225,48,14293
64,0.006983116475446504,48,14293
65,0.006813854020252584,48,14293
66,0.006647235011035356,48,14293
67,0.006483330356410138,48,14293
68,0.006322195670059027,48,14293
69,0.0061638727455135215,48,14293
70,0.006008390980244954,48,14293
71,0.005855768739850777,48,14293
72,0.005706014654746727,48,14293
73,0.005559128843322615,48,14293
74,0.00541510405698363,48,14293
75,0.005273926743874366,48,14293
76,0.005135578029359539,48,14293
77,0.005000034612506312,48,14293
78,0.004867269578879808,48,14293
79,0.00473725313091609,48,14293
80,0.004609953237980876,48,14293
81,0.004485336208950646,48,14293
82,0.004363367190773015,48,14293
83,0.004244010596970903,48,14293
84,0.004127230470459512,48,14293
85,0.004012990785343963,48,14293
86,0.0039012556925709335,48,14293
87,0.0037919897144185416,48,14293
88,0.0036851578928397202,48,14293
89,0.0035807258966252435,48,14293
90,0.0034786600922387836,48,14293
91,0.00337892758300314,48,14293
92,0.0032814962210929452,48,14293
93,0.0031863345965265806,48,14293
94,0.0030934120070566875,48,14293
95,0.003002698412543019,48,14293
96,0.0029141643770639308,48,14293
97,0.0028277810016913148,48,14293
98,0.002743519850524263,48,14293
99,0.0026613528722581148,48,14293
100,0.002581252319263203,48,14293
101,0.002503190665863483,48,14293
102,0.002427140527247619,48,14293
103,0.002353074580212399,48,14293
104,0.0022809654867338098,48,14293
105,0.0022107858211856757,48,14293
106,0.0021425080018768537,48,14293
107,0.0020761042274562973,48,14293
108,0.0020115464186370477,48,14293
109,0.001948806165613272,48,14293
110,0.0018878546814853421,48,14293
111,0.001828662761963881,48,14293
112,0.0017712007515885172,48,14293
113,0.0017154385166708644,48,14293
114,0.001661345425146432,48,14293
115,0.001608890333496837,48,14293
116,0.0015580415808762924,48,14293
117,0.001508766990544506,48,14293
118,0.0014610338786688161,48,14293
