puntos,partidas,total_partidas,porcentaje_pc,porcentaje_con_menos
0,54,122371,75,0
1,187,122371,75,0
2,335,122371,75,0
3,332,122371,75,0
4,299,122371,75,0
5,245,122371,75,0
6,244,122371,75,1
7,267,122371,75,1
8,297,122371,75,1
9,347,122371,75,1
10,363,122371,75,2
11,399,122371,75,2
12,450,122371,75,2
13,463,122371,75,3
14,506,122371,75,3
15,556,122371,75,3
16,648,122371,75,4
17,724,122371,75,4
18,855,122371,75,5
19,898,122371,75,6
20,922,122371,75,6
21,1014,122371,75,7
22,1190,122371,75,8
23,1322,122371,75,9
24,1459,122371,75,10
25,1599,122371,75,11
26,1660,122371,75,13
27,1918,122371,75,14
28,2051,122371,75,15
29,2309,122371,75,17
30,2353,122371,75,19
31,2562,122371,75,21
32,2690,122371,75,23
33,2808,122371,75,25
34,3042,122371,75,28
35,3158,122371,75,30
36,3379,122371,75,33
37,3585,122371,75,35
38,3627,122371,75,38
39,3780,122371,75,41
40,3875,122371,75,44
41,3875,122371,75,48
42,3850,122371,75,51
43,3888,122371,75,54
44,3890,122371,75,57
45,3874,122371,75,60
46,3818,122371,75,63
47,3705,122371,75,66
48,3611,122371,75,70
49,3395,122371,75,72
50,29693,122371,75,75
