song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,preview_url
Money (with Tom Misch),0.774,0.419,4,-9.649,0,0.0758,0.539,0.0698,0.029,0.644,118.008,audio_features,2LUTN2pDXUplYlc7WjE1Mm,spotify:track:2LUTN2pDXUplYlc7WjE1Mm,https://api.spotify.com/v1/tracks/2LUTN2pDXUplYlc7WjE1Mm,https://api.spotify.com/v1/audio-analysis/2LUTN2pDXUplYlc7WjE1Mm,291569,4,https://p.scdn.co/mp3-preview/80f86300184643fd19f2d864bb5f9ceda9667f37?cid=774b29d4f13844c495f206cafdad9c86
Crazy Dream,0.852,0.664,9,-5.179,1,0.123,0.12,0.00113,0.0737,0.148,95.815,audio_features,7LNI08YZRk67lg7KaPABfg,spotify:track:7LNI08YZRk67lg7KaPABfg,https://api.spotify.com/v1/tracks/7LNI08YZRk67lg7KaPABfg,https://api.spotify.com/v1/audio-analysis/7LNI08YZRk67lg7KaPABfg,212044,4,https://p.scdn.co/mp3-preview/e5bf5522539fa5757a4ca13d2c2f7e3bc1ea43ec?cid=774b29d4f13844c495f206cafdad9c86
Losing My Way,0.838,0.432,6,-14.398,1,0.228,0.562,0.363,0.0987,0.127,99.978,audio_features,4yMT3mbUsiukLDRqPfQ9rN,spotify:track:4yMT3mbUsiukLDRqPfQ9rN,https://api.spotify.com/v1/tracks/4yMT3mbUsiukLDRqPfQ9rN,https://api.spotify.com/v1/audio-analysis/4yMT3mbUsiukLDRqPfQ9rN,259200,4,https://p.scdn.co/mp3-preview/480c1ee2a1aacf198a31bcc60e0c6eb5be25beaf?cid=774b29d4f13844c495f206cafdad9c86
Lost in Paris,0.788,0.711,1,-7.811,0,0.0597,0.364,0.0000207,0.0838,0.802,104.149,audio_features,4A7DUET5H4f7dJkUhjfVFB,spotify:track:4A7DUET5H4f7dJkUhjfVFB,https://api.spotify.com/v1/tracks/4A7DUET5H4f7dJkUhjfVFB,https://api.spotify.com/v1/audio-analysis/4A7DUET5H4f7dJkUhjfVFB,194023,4,https://p.scdn.co/mp3-preview/1683441657b333aa5feb5ae36891321696a10ee4?cid=774b29d4f13844c495f206cafdad9c86
South of the River,0.845,0.57,0,-8.441,1,0.0802,0.0957,0.414,0.0813,0.466,113.003,audio_features,5w3yxRRxy5pvZdUvBJF6ve,spotify:track:5w3yxRRxy5pvZdUvBJF6ve,https://api.spotify.com/v1/tracks/5w3yxRRxy5pvZdUvBJF6ve,https://api.spotify.com/v1/audio-analysis/5w3yxRRxy5pvZdUvBJF6ve,269815,4,https://p.scdn.co/mp3-preview/270e1bd045b3c334a6234bea6f2eab95199cb235?cid=774b29d4f13844c495f206cafdad9c86
Angel,0.801,0.601,11,-7.362,0,0.203,0.147,0.011,0.108,0.282,96.998,audio_features,4pjcxC0qgXWZWmcBjzn1az,spotify:track:4pjcxC0qgXWZWmcBjzn1az,https://api.spotify.com/v1/tracks/4pjcxC0qgXWZWmcBjzn1az,https://api.spotify.com/v1/audio-analysis/4pjcxC0qgXWZWmcBjzn1az,283225,4,https://p.scdn.co/mp3-preview/6cfa2d58fa8ce8cf1a3f4f6b76a652a50390db58?cid=774b29d4f13844c495f206cafdad9c86
Cold Little Heart - Tom Misch Remix,0.871,0.628,7,-4.017,0,0.181,0.157,0.243,0.172,0.499,114.007,audio_features,4OTmb9xKQPkhn3w0aYbOZ6,spotify:track:4OTmb9xKQPkhn3w0aYbOZ6,https://api.spotify.com/v1/tracks/4OTmb9xKQPkhn3w0aYbOZ6,https://api.spotify.com/v1/audio-analysis/4OTmb9xKQPkhn3w0aYbOZ6,316029,4,https://p.scdn.co/mp3-preview/1fb4090a1562f2bc0875b18733ed2e2cdf3b6650?cid=774b29d4f13844c495f206cafdad9c86
Beat 54 (All Good Now),0.646,0.695,2,-6.34,1,0.0545,0.513,0.00723,0.154,0.514,105.978,audio_features,7CFbh9XfJ40XaYWgCbYX3H,spotify:track:7CFbh9XfJ40XaYWgCbYX3H,https://api.spotify.com/v1/tracks/7CFbh9XfJ40XaYWgCbYX3H,https://api.spotify.com/v1/audio-analysis/7CFbh9XfJ40XaYWgCbYX3H,246815,4,https://p.scdn.co/mp3-preview/33a4ffda46dddfea297be6ebf512100befc44464?cid=774b29d4f13844c495f206cafdad9c86
Tieduprightnow,0.863,0.533,5,-7.986,0,0.0484,0.291,0.00126,0.0794,0.738,102.025,audio_features,66tkDkPsznE5zIHNt4QkXB,spotify:track:66tkDkPsznE5zIHNt4QkXB,https://api.spotify.com/v1/tracks/66tkDkPsznE5zIHNt4QkXB,https://api.spotify.com/v1/audio-analysis/66tkDkPsznE5zIHNt4QkXB,249957,4,https://p.scdn.co/mp3-preview/aafb6617ab6c948d2e8e5cea278ca6f586492486?cid=774b29d4f13844c495f206cafdad9c86
Lightenup,0.857,0.658,0,-9.8,1,0.0388,0.015,0.266,0.105,0.703,122.969,audio_features,1qtiESAzfGMw3YqJvI97ki,spotify:track:1qtiESAzfGMw3YqJvI97ki,https://api.spotify.com/v1/tracks/1qtiESAzfGMw3YqJvI97ki,https://api.spotify.com/v1/audio-analysis/1qtiESAzfGMw3YqJvI97ki,237227,4,https://p.scdn.co/mp3-preview/3154df1e31ac6532ebb6ddc190054e7ae4f9d42e?cid=774b29d4f13844c495f206cafdad9c86
